S 00118 0 1 18DF6 00000002 0000F33C 0000BF33 0000568E 00002A30 0000E907 00000415 0000CFD3 003E4237 003E42F6 003E4096 003E4060 003E417C 003E407D 003E5200 2533E0EA
S 0011E 0 1 19614 00000C62 0000BB45 000079D2 0000CB78 00003911 0000EB64 00009756 00008EE3 003E40CD 003E4042 003E4366 003E423D 003E4369 003E424A 003E5200 075310CD
S 00124 0 1 195B4 00005031 0000B155 0000ED00 00003311 0000A938 0000FF24 00002982 00000C8D 003E4018 003E4331 003E4008 003E424D 003E415A 003E4002 003E5200 248B83BF
S 0012A 0 1 1946E 0000A195 00006237 00005521 000070CA 0000B729 0000CF0F 0000A0F0 00005A17 003E42FD 003E4113 003E4122 003E4131 003E436B 003E42EB 003E5200 ABF17A69
S 00130 0 1 18D88 0000252C 00007913 0000D3A4 0000ED1A 0000C507 000072A5 0000C91E 00004B2D 003E434D 003E433C 003E4087 003E4011 003E4143 003E423B 003E5200 A5AAD102
S 00136 0 1 18DEA 00000004 0000D71D 0000E10D 00000FEA 00006886 000022B4 0000E497 00007687 003E429C 003E4216 003E4336 003E42AD 003E40A2 003E42DE 003E5200 372B828B
S 0013C 0 1 18DB6 00000006 000000AE 00002122 0000E9F4 0000664D 0000D121 00008EE0 000073B2 003E4327 003E4285 003E401D 003E4035 003E4327 003E42EB 003E5200 ABCC2BC9
S 00142 0 1 18DFC 00000001 0000022B 0000D330 0000F78F 00001033 0000C859 00008054 00000741 003E41E6 003E4052 003E4097 003E423E 003E40F7 003E417E 003E5200 842722F5
S 00148 0 1 18E00 00000003 0000D8CC 0000FEB7 0000FAA0 0000081F 000019FE 0000F7CD 00007069 003E422E 003E4280 003E4266 003E4127 003E4337 003E404A 003E5200 2E8A3F2A
S 0014E 0 1 18DC4 00000007 0000756A 00000432 000057DD 0000564A 00006B52 00002CCB 0000483F 003E404B 003E4346 003E4120 003E4355 003E4111 003E4084 003E5200 FAE62708
S 00154 0 1 18A5E 0000788A 0000AEB1 0000E572 00002F0E 0000906D 0000FD92 0000C284 00002FA2 003E410B 003E41A8 003E4199 003E4318 003E4039 003E41D6 003E5200 D86F3823
S 0015A 0 1 18764 00008F45 00000EDB 0000F66B 0000A15C 00007121 000086BB 00001259 00002C45 003E42EE 003E4239 003E40FB 003E412B 003E4122 003E4354 003E5200 1E110C7E
S 00160 0 1 19366 00000000 0000612B 0000F02C 000030FD 00001266 00006097 00009C05 00000E4F 003E4206 003E42C9 003E4373 003E436A 003E4277 003E4100 003E5200 BB7AD2A5
S 00166 0 1 1939C 000050BB 00000A90 00008B03 000094E6 000006A4 00008148 00008D38 0000A277 003E4094 003E407A 003E4245 003E4142 003E4040 003E42C0 003E5200 28FC22E1
S 0016C 0 1 193DA 0000821A 000016E3 00005528 00008744 0000033B 00009307 000082DD 000052C8 003E4033 003E434B 003E40E6 003E414A 003E412E 003E422E 003E5200 25582140
S 00172 0 1 13E94 0000DAD5 0000C215 0000B461 000097E0 0000C711 0000466F 0000F8CC 0000A5CE 003E42C2 003E4299 003E41DD 003E415B 003E429F 003E4364 003E5200 047ABC85
S 00178 0 1 14A36 000045ED 0000CC6E 00008614 0000421E 0000B4E2 00008BCA 00008063 0000B814 003E419C 003E4071 003E42B0 003E4216 003E419F 003E4123 003E5200 7447676D
S 0017E 0 1 14578 0000534E 00004DE7 0000378E 0000CC70 00009AA1 0000A116 0000F52D 0000DCC2 003E4275 003E4370 003E40B5 003E425C 003E40C4 003E42EA 003E5200 7D79E6EC
S 00184 0 1 14772 000072C8 0000CAAA 00002B41 0000A502 0000ED01 0000E85E 0000141D 0000EBE9 003E4308 003E4296 003E40CE 003E4369 003E4284 003E4180 003E5200 B49AEE97
S 0018A 0 1 1485C 00009C22 0000F2F3 00002D33 0000F5DC 0000E7BD 00001611 00001EDD 00000E3F 003E4225 003E42C6 003E41FB 003E4366 003E4320 003E4366 003E5200 7683744F
S 00190 0 1 14B8A 00007FB9 0000E671 000009F8 000002B3 0000DC92 0000E84A 0000C90A 00004D46 003E41B1 003E42F4 003E426A 003E4127 003E401B 003E400F 003E5200 FF68733B
S 00196 0 1 14C3C 000069FD 0000529F 0000DE0B 00006C04 0000DD24 00000848 00001D62 0000712D 003E4176 003E413D 003E430F 003E433A 003E4076 003E4214 003E5200 F6A68974
S 0019C 0 1 14D48 0000EA70 000022FA 0000DE86 00005A33 000057E0 00006CCF 00000A38 00008756 003E419E 003E436C 003E40E1 003E40B4 003E432D 003E41EE 003E5200 999A827E
S 001A2 0 1 15064 00004496 0000E6D7 00001E95 0000363F 0000268E 000086CB 0000689D 0000EC6A 003E4017 003E41B5 003E42DE 003E416F 003E4320 003E4024 003E5200 8E0BFDE6
S 001A8 0 1 155A0 00003B60 0000068B 0000D4FF 00007C57 000007D8 00008CB3 000044C6 00005EE3 003E40F0 003E4359 003E409E 003E41BE 003E4034 003E426E 003E5200 B39B8385
S 001AE 0 1 15672 00000E7E 0000281F 00009762 00009246 0000334A 00000F15 0000E7E8 0000EBC0 003E437D 003E4034 003E4309 003E40E7 003E4003 003E40C6 003E5200 DDE1F2F2
