d2.b=0xc0 from 0xa77e  x1
d2.b=0x1 from 0xa990  x1
d2.b=0xc0 from 0xa990  x1
d2.b=0x1 from 0xa799  x1
d2.b=0xc0 from 0xa799  x1
d2.b=0x1 from 0xa9aa  x1
d2.b=0xc0 from 0xa9aa  x1
d2.b=0x1 from 0xa7b5  x1
d2.b=0xc0 from 0xa7b5  x1
d2.b=0x1 from 0xa9c6  x1
d2.b=0xc0 from 0xa9c6  x1
d2.b=0x1 from 0xa7e8  x1
d2.b=0xc0 from 0xa7e8  x1
d2.b=0x1 from 0xa9f8  x1
d2.b=0xc0 from 0xa9f8  x1
d2.b=0x70 from 0x21a064  x1
d2.b=0xf0 from 0x21a064  x1
d2.b=0x70 from 0x21a06c  x1
d2.b=0xf0 from 0x21a06c  x1
d2.b=0x70 from 0x21a074  x1
d2.b=0xf0 from 0x21a074  x1
d2.b=0x70 from 0x21a07c  x1
d2.b=0xf0 from 0x21a07c  x1
d2.b=0x70 from 0x21a084  x1
d2.b=0xf0 from 0x21a084  x1
d2.b=0x70 from 0x21a08c  x1
d2.b=0xf0 from 0x21a08c  x1
d2.b=0x70 from 0x21a094  x1
d2.b=0xf0 from 0x21a094  x1
d2.b=0x70 from 0x21a09c  x1
d2.b=0xf0 from 0x21a09c  x1
d2.b=0x70 from 0x21a0a4  x1
d2.b=0xf0 from 0x21a0a4  x1
d2.b=0x70 from 0x21a0ac  x1
d2.b=0xf0 from 0x21a0ac  x1
d2.b=0x70 from 0x21a0b4  x1
d2.b=0xf0 from 0x21a0b4  x1
d2.b=0x70 from 0x21a0bc  x1
d2.b=0xf0 from 0x21a0bc  x1
d2.b=0x70 from 0x21a0c4  x1
d2.b=0xf0 from 0x21a0c4  x1
d2.b=0x70 from 0x21a0cc  x1
d2.b=0xf0 from 0x21a0cc  x1
d2.b=0x70 from 0x21a0d4  x1
d2.b=0xf0 from 0x21a0d4  x1
d2.b=0x70 from 0x21a0dc  x1
d2.b=0xf0 from 0x21a0dc  x1
d2.b=0x70 from 0x21a0e4  x1
d2.b=0xf0 from 0x21a0e4  x1
d2.b=0x70 from 0x21a0ec  x1
d2.b=0xf0 from 0x21a0ec  x1
d2.b=0x70 from 0x21b064  x1
d2.b=0xf0 from 0x21b064  x1
d2.b=0x70 from 0x21b06c  x1
d2.b=0x70 from 0x21b074  x1
d2.b=0x70 from 0x21b07c  x1
d2.b=0x70 from 0x21b084  x1
d2.b=0x70 from 0x21b08c  x1
d2.b=0x70 from 0x21b094  x1
d2.b=0x70 from 0x21b09c  x1
d2.b=0x70 from 0x21b0a4  x1
d2.b=0x70 from 0x21b0ac  x1
d2.b=0x70 from 0x21b0b4  x1
d2.b=0x70 from 0x21b0bc  x1
d2.b=0x70 from 0x21b0c4  x1
d2.b=0x70 from 0x21b0cc  x1
d2.b=0x70 from 0x21b0d4  x1
d2.b=0x70 from 0x21b0dc  x1
d2.b=0x70 from 0x21b0e4  x1
d2.b=0x70 from 0x21b0ec  x1
d2.b=0xf0 from 0x21b0ec  x1
d2.b=0x70 from 0x21c064  x1
d2.b=0xf0 from 0x21c064  x1
d2.b=0x70 from 0x21c06c  x1
d2.b=0xf0 from 0x21c06c  x1
d2.b=0x70 from 0x21c074  x1
d2.b=0xf0 from 0x21c074  x1
d2.b=0x70 from 0x21c07c  x1
d2.b=0xf0 from 0x21c07c  x1
d2.b=0x70 from 0x21c084  x1
d2.b=0xf0 from 0x21c084  x1
d2.b=0x70 from 0x21c08c  x1
d2.b=0xf0 from 0x21c08c  x1
d2.b=0x70 from 0x21c094  x1
d2.b=0xf0 from 0x21c094  x1
d2.b=0x70 from 0x21c09c  x1
d2.b=0xf0 from 0x21c09c  x1
d2.b=0x70 from 0x21c0a4  x1
d2.b=0xf0 from 0x21c0a4  x1
d2.b=0x70 from 0x21c0ac  x1
d2.b=0xf0 from 0x21c0ac  x1
d2.b=0x70 from 0x21c0b4  x1
d2.b=0xf0 from 0x21c0b4  x1
d2.b=0x70 from 0x21c0bc  x1
d2.b=0xf0 from 0x21c0bc  x1
d2.b=0x70 from 0x21c0c4  x1
d2.b=0xf0 from 0x21c0c4  x1
d2.b=0x70 from 0x21c0cc  x1
d2.b=0xf0 from 0x21c0cc  x1
d2.b=0x70 from 0x21c0d4  x1
d2.b=0xf0 from 0x21c0d4  x1
d2.b=0x70 from 0x21c0dc  x1
d2.b=0xf0 from 0x21c0dc  x1
d2.b=0x70 from 0x21c0e4  x1
d2.b=0xf0 from 0x21c0e4  x1
d2.b=0x70 from 0x21c0ec  x1
d2.b=0xf0 from 0x21c0ec  x1
d2.b=0x70 from 0x21d064  x1
d2.b=0xf0 from 0x21d064  x1
d2.b=0x70 from 0x21d06c  x1
d2.b=0xf0 from 0x21d06c  x1
d2.b=0x70 from 0x21d074  x1
d2.b=0xf0 from 0x21d074  x1
d2.b=0x70 from 0x21d07c  x1
d2.b=0xf0 from 0x21d07c  x1
d2.b=0x70 from 0x21d084  x1
d2.b=0xf0 from 0x21d084  x1
d2.b=0x70 from 0x21d08c  x1
